rank,year,team,city,home_games,total_home_attendance,home_avg,away_games,away_avg,total_games,total_avg,,,
1,2022,Dodgers,Los Angeles,81,"3,861,408","47,671",81,"31,104",162,"39,388",,,
2,2022,Cardinals,St. Louis,81,"3,320,551","40,994",80,"27,895",161,"34,485",,,
3,2022,Yankees,Bronx,78,"3,136,207","40,207",81,"30,418",159,"35,220",,,
4,2022,Braves,Atlanta,81,"3,129,931","38,641",80,"28,216",161,"33,461",,,
5,2022,Padres,San Diego,81,"2,991,470","36,931",80,"29,754",161,"33,365",,,
6,2022,Mets,Queens,77,"2,564,737","33,308",80,"29,330",157,"31,281",,,
7,2022,Astros,Houston,81,"2,688,998","33,197",80,"25,112",161,"29,179",,,
8,2022,Blue Jays,Toronto,81,"2,653,830","32,763",78,"26,280",159,"29,582",,,
9,2022,Rockies,Denver,80,"2,597,428","32,467",80,"27,801",160,"30,134",,,
10,2022,Red Sox,Boston,81,"2,625,089","32,408",81,"26,106",162,"29,257",,,
11,2022,Cubs,Chicago,81,"2,616,780","32,305",81,"29,044",162,"30,675",,,
12,2022,Giants,San Francisco,81,"2,482,686","30,650",79,"29,337",160,"30,002",,,
13,2022,Angels,Los Angeles,81,"2,457,461","30,339",81,"25,561",162,"27,950",,,
14,2022,Brewers,Milwaukee,80,"2,412,420","30,155",81,"27,290",161,"28,713",,,
15,2022,Mariners,Seattle,80,"2,287,267","28,590",81,"22,973",161,"25,764",,,
16,2022,Phillies,Philadelphia,80,"2,276,736","28,459",81,"29,193",161,"28,828",,,
17,2022,Nationals,Washington D.C.,81,"2,026,401","25,017",80,"27,839",161,"26,419",,,
18,2022,Rangers,Arlington,81,"2,011,381","24,831",79,"22,443",160,"23,652",,,
19,2022,White Sox,Chicago,80,"1,976,344","24,704",78,"22,118",158,"23,427",,,
20,2022,Twins,Minneapolis,80,"1,801,128","22,514",80,"22,827",160,"22,670",,,
21,2022,Diamondbacks,Phoenix,81,"1,605,199","19,817",81,"29,182",162,"24,499",,,
22,2022,Tigers,Detroit,79,"1,551,149","19,634",76,"23,612",155,"21,585",,,
23,2022,Orioles,Baltimore,78,"1,368,367","17,543",81,"26,132",159,"21,918",,,
24,2022,Reds,Cincinnati,80,"1,395,770","17,447",81,"30,005",161,"23,765",,,
25,2022,Guardians,Cleveland,76,"1,295,869","17,050",80,"25,315",156,"21,289",,,
26,2022,Royals,Kansas City,80,"1,277,986","15,974",80,"22,474",160,"19,224",,,
27,2022,Pirates,Pittsburgh,81,"1,257,458","15,524",80,"28,495",161,"21,969",,,
28,2022,Rays,Tampa Bay,81,"1,128,127","13,927",81,"25,027",162,"19,477",,,
29,2022,Marlins,Miami,81,"907,487","11,203",80,"27,803",161,"19,452",,,
30,2022,A's,Oakland,79,"787,902","9,973",81,"26,031",160,"18,102",,,
1,2021,Dodgers,Los Angeles,81,"2,804,693","34,625",81,"25,163",162,"29,894",,,
2,2021,Braves,Atlanta,78,"2,300,247","29,490",78,"17,968",156,"23,729",,,
3,2021,San Diego,San Diego,81,"2,191,950","27,061",79,"22,140",160,"24,631",,,
4,2021,Cardinals,St. Louis,80,"2,102,530","26,281",81,"20,518",161,"23,382",,,
5,2021,Rangers,Arlington,81,"2,110,258","26,052",80,"14,444",161,"20,284",,,
6,2021,Astros,Houston,81,"2,068,509","25,537",81,"17,947",162,"21,742",,,
7,2021,Rockies,Denver,78,"1,938,645","24,854",79,"20,252",157,"22,539",,,
8,2021,Yankees,Bronx,80,"1,959,854","24,498",81,"20,612",161,"22,543",,,
9,2021,Cubs,Chicago,81,"1,978,934","24,431",81,"22,637",162,"23,534",,,
10,2021,Brewers,Milwaukee,81,"1,824,282","22,522",81,"19,548",162,"21,035",,,
